Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
データベース,,,,,,,,,
みかんid,name,birtday,taste,link,Rarity,eat1,eat2,写真,
１,紅マドンナ,12月,☆☆☆☆☆,https://www.kajuen.co.jp/c/hime-madonna,☆☆☆,包丁,袋剥かない,,
２,晴れ姫,12月,☆☆☆,https://www.kajuen.co.jp/c/harehime,☆☆,手,袋剥かない,,愛媛で生産されているあまりなじみのない柑橘でガチャをつくる 出てきた柑橘の詳細をポップアップで表示 入れる情報 ・甘いか酸っぱい ・旬の時期 ・写真 ・誕生日 ・レア度 ・手で向けるか ・中の皮を剥かずに食べられるか ・種があるか ・商品購入ページのリンクを貼り付ける
３,ポンカン,2月,☆☆☆☆☆,https://www.kajuen.co.jp/c/ponkan,☆,手,袋剥かない,,
４,天草,12月,☆☆☆☆,https://item.rakuten.co.jp/shimabara-tyokusou/06-0101/,☆☆☆,包丁,袋剥かない,,
５,伊予柑,1月?3月,☆☆,https://www.kajuen.co.jp/c/iyokan,☆,包丁,袋剥く,,
６,黄金柑,2月?4月,☆☆☆,https://item.rakuten.co.jp/f382141-seiyo/0371_mc/?iasid=07rpp_10095___ed-ll55nl9v-7d-8966fd95-aef5-4ec6-adb7-1902ec06a735,☆☆☆,包丁,袋剥かない,,
７,河内晩柑,3月?9月,☆☆,https://www.kajuen.co.jp/c/kinari-kawachi,☆,包丁,袋剥く,,
８,甘平,1月,☆☆☆☆☆,https://www.kajuen.co.jp/c/kampei,☆☆☆,手,袋剥かない,,
９,清見,4月,☆☆☆☆,https://www.kajuen.co.jp/c/kiyomi/,☆,包丁,袋剥かない,,
１０,ひめのつき,2月?3月,☆☆☆,https://kuniyasuseika.co.jp/SHOP/w-himetuki10.html,☆☆☆,手,袋剥かない,,
１１,サマーフレッシュ,6月?8月,☆,https://f-masanobu.jp/product/summer_fresh/,☆☆,包丁,袋剥く,,
１２,不知火,3月?6月,☆☆☆,https://www.kajuen.co.jp/c/deko,☆,手,袋剥かない,,
１３,媛小春,２月,☆☆☆☆,https://item.rakuten.co.jp/f382035-uwajima/b010-096003/?iasid=07rpp_10095___ec-ll55l8m9-7a-0c37d77d-461b-4bbc-b675-4034add9edb6,☆☆☆☆,手,袋剥かない,,
１４,はるか,2月?４月,☆☆☆,https://www.kajuen.co.jp/c/haruka,☆☆,手,袋剥かない,,
１５,せとか,２月?３月,☆☆☆☆☆,https://www.kajuen.co.jp/c/setoka,☆☆,包丁,袋剥かない,,
１６,紅プリンセス,３月?４月,☆☆☆☆☆,https://item.rakuten.co.jp/kibounosima/primadonna_ex_2kg/,☆☆☆☆☆,包丁,袋剥く,,
１７,たまみ,１月,☆☆☆☆☆,https://www.takaishigaki.com/?mode=cate&cbid=2668000&csid=0,☆☆☆☆☆,手,袋剥かない,,
１８,ブラッドオレンジ,2月?4月,☆☆☆,https://www.kajuen.co.jp/c/bloodorange/,☆,包丁,袋剥かない,,
１９,日向夏,3月,☆☆☆,https://www.kajuen.co.jp/c/new-summer,☆,包丁,袋剥かない,,
２０,八朔,3月?５月,☆,https://www.tuchinokoe.com/shopdetail/000000001460/,☆,包丁,袋剥く,,
２１,なつみ,3月?５月,☆☆☆,https://kuniyasuseika.co.jp/SHOP/51294/list.html,☆,手,袋剥かない,,
